,name,instance,k,n,n_steps,FT_Mean,FT_Std,PT_Mean,PT_Std,MAE_Mean,MAE_Std,MSE_Mean,MSE_Std
6,"LSTM_qACId1[qACId(1),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",1,2,56,10,"67,97808385",0,"0,113806995","0,035244698","0,374455462","0,256248625","0,547189134","0,611621597"
7,"LSTM_qACId4[qACId(4),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",1,2,56,10,"67,97808385",0,"0,113806995","0,035244698","0,358398151","0,230994352","0,485352459","0,501311531"
8,"LSTM_qACId6[qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",1,2,56,10,"67,97808385",0,"0,113806995","0,035244698","0,354803167","0,249059242","0,524768601","0,545754139"
9,"LSTM_qACId[1,4,6][qACId(1),qACId(4),qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",1,2,56,10,"67,97808385",0,"0,113806995","0,035244698","0,346226682","0,250546545","0,487099816","0,546939469"
10,"CNN_base[y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",1,2,56,10,"56,16755104",0,"0,104611157","0,044536523","0,371003901","0,303509641","0,631768606","0,85685598"
11,"CNN_qACId1[qACId(1),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",1,2,56,10,"56,16755104",0,"0,104611157","0,044536523","0,399688535","0,303690047","0,694264964","0,875078644"
12,"CNN_qACId4[qACId(4),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",1,2,56,10,"56,16755104",0,"0,104611157","0,044536523","0,338495531","0,256528436","0,492203755","0,57135465"
13,"CNN_qACId6[qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",1,2,56,10,"56,16755104",0,"0,104611157","0,044536523","0,378914734","0,263334646","0,622859149","0,647095934"
14,"CNN_qACId[1,4,6][qACId(1),qACId(4),qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",1,2,56,10,"56,16755104",0,"0,104611157","0,044536523","0,349346625","0,269806399","0,537390714","0,653256166"
0,"MLP_base[y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",2,2,56,10,"21,00639415",0,"0,099119375","0,016306772","1,54967885","0,914632503","9,567904731","8,383838509"
1,"MLP_qACId1[qACId(1),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",2,2,56,10,"21,00639415",0,"0,099119375","0,016306772","1,536389909","0,902110383","9,372641696","8,394296469"
2,"MLP_qACId4[qACId(4),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",2,2,56,10,"21,00639415",0,"0,099119375","0,016306772","1,553220345","0,974494527","10,16091961","9,887687383"
3,"MLP_qACId6[qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",2,2,56,10,"21,00639415",0,"0,099119375","0,016306772","1,540807425","0,901239599","9,459125864","8,314501841"
4,"MLP_qACId[1,4,6][qACId(1),qACId(4),qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",2,2,56,10,"21,00639415",0,"0,099119375","0,016306772","1,54720016","0,937336587","9,709036543","8,880544854"
5,"LSTM_base[y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",2,2,56,10,"68,89694881",0,"0,116937281","0,042064333","1,636598587","1,005708018","11,03638514","10,05280914"
6,"LSTM_qACId1[qACId(1),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",2,2,56,10,"68,89694881",0,"0,116937281","0,042064333","1,694186991","1,04392063","11,7784071","10,47266412"
7,"LSTM_qACId4[qACId(4),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",2,2,56,10,"68,89694881",0,"0,116937281","0,042064333","1,7029544","1,078268438","12,49818733","11,7324424"
8,"LSTM_qACId6[qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",2,2,56,10,"68,89694881",0,"0,116937281","0,042064333","1,726675235","1,117420984","13,18484874","12,85930606"
