,name,instance,k,n,n_steps,FT_Mean,FT_Std,PT_Mean,PT_Std,MAE_Mean,MAE_Std,MSE_Mean,MSE_Std
9,"LSTM_qACId[4,6,8][qACId(4),qACId(6),qACId(8),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",1,100,28,10,57.924283504486084,0.0,0.1089790272513472,0.03136571792145474,0.3866826354071997,0.3142218897406327,0.6549903001606412,0.8372933931502127
0,"MLP_base[y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",2,100,28,10,20.46132516860962,0.0,0.10484842179526746,0.024248453263907278,1.4977139553256256,0.8799007314857638,8.99363921521313,7.729401785891697
1,"MLP_qACId4[qACId(4),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",2,100,28,10,20.46132516860962,0.0,0.10484842179526746,0.024248453263907278,1.4996676157886133,0.9157475631755251,9.373872472632213,8.752542674899201
2,"MLP_qACId6[qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",2,100,28,10,20.46132516860962,0.0,0.10484842179526746,0.024248453263907278,1.5086425571025026,0.8632569324416642,9.003029726645249,7.400237102234814
3,"MLP_qACId8[qACId(8),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",2,100,28,10,20.46132516860962,0.0,0.10484842179526746,0.024248453263907278,1.4951330878338012,0.8812403128326391,9.00236576057978,8.10553844493493
4,"MLP_qACId[4,6,8][qACId(4),qACId(6),qACId(8),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",2,100,28,10,20.46132516860962,0.0,0.10484842179526746,0.024248453263907278,1.4988082313021602,0.8974290324753477,9.184956708625817,8.246923318817185
5,"LSTM_base[y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",2,100,28,10,55.80918073654175,0.0,0.11828247459841446,0.04267925372747961,1.6359055518671708,1.0541003960541868,11.45406746287696,11.135065595363068
6,"LSTM_qACId4[qACId(4),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",2,100,28,10,55.80918073654175,0.0,0.11828247459841446,0.04267925372747961,1.6579589166114377,1.0551864453575939,11.620753523446263,11.20280918955568
7,"LSTM_qACId6[qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",2,100,28,10,55.80918073654175,0.0,0.11828247459841446,0.04267925372747961,1.6613666883215379,1.0586778700458908,11.775122413843398,11.351407565294886
8,"LSTM_qACId8[qACId(8),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",2,100,28,10,55.80918073654175,0.0,0.11828247459841446,0.04267925372747961,1.6599574360387754,1.0544312543841687,11.804318930419779,11.707056014762776
9,"LSTM_qACId[4,6,8][qACId(4),qACId(6),qACId(8),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",2,100,28,10,55.80918073654175,0.0,0.11828247459841446,0.04267925372747961,1.7565291854393132,1.109579953008752,13.126371929772262,12.312507097106904
0,"MLP_base[y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",0,100,56,10,21.305176734924316,0.0,0.10082291959055951,0.015430231298104181,0.5714033004598175,0.3766885155937995,1.4836244962218732,1.40596605264173
1,"MLP_qACId4[qACId(4),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",0,100,56,10,21.305176734924316,0.0,0.10082291959055951,0.015430231298104181,0.5749725232410007,0.3964603405746457,1.5734398720738672,1.533265242600888
2,"MLP_qACId6[qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",0,100,56,10,21.305176734924316,0.0,0.10082291959055951,0.015430231298104181,0.5669513738416234,0.37952960572712957,1.490792934972554,1.4279263196232712
3,"MLP_qACId8[qACId(8),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",0,100,56,10,21.305176734924316,0.0,0.10082291959055951,0.015430231298104181,0.5710394527802813,0.3778834502502992,1.48401170885567,1.4155737685991414
4,"MLP_qACId[4,6,8][qACId(4),qACId(6),qACId(8),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",0,100,56,10,21.305176734924316,0.0,0.10082291959055951,0.015430231298104181,0.5682445110924287,0.38396642731315217,1.4992625784014062,1.4614244692076612
5,"LSTM_base[y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",0,100,56,10,67.13379454612732,0.0,0.11329279902253643,0.0284796641028621,0.6051201634426882,0.4017229108458585,1.7299278157123104,1.674925797704701
6,"LSTM_qACId4[qACId(4),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",0,100,56,10,67.13379454612732,0.0,0.11329279902253643,0.0284796641028621,0.604693891581525,0.4024633897688895,1.7202814201593983,1.630559613596374
7,"LSTM_qACId6[qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",0,100,56,10,67.13379454612732,0.0,0.11329279902253643,0.0284796641028621,0.6037276752180722,0.42257610779880955,1.7681066715560023,1.8178537678044246
8,"LSTM_qACId8[qACId(8),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",0,100,56,10,67.13379454612732,0.0,0.11329279902253643,0.0284796641028621,0.5954130558343369,0.40397739901101926,1.6906652710189656,1.6795965502960186
9,"LSTM_qACId[4,6,8][qACId(4),qACId(6),qACId(8),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",0,100,56,10,67.13379454612732,0.0,0.11329279902253643,0.0284796641028621,0.608887874363503,0.4257639230115134,1.8245621147007647,1.9334693355112136
0,"MLP_base[y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",1,100,56,10,20.636932611465454,0.0,0.10401776640528092,0.043021385882083096,0.3476680000751012,0.22492907198155304,0.45017140362353963,0.44559883642013726
1,"MLP_qACId4[qACId(4),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",1,100,56,10,20.636932611465454,0.0,0.10401776640528092,0.043021385882083096,0.34065572913194214,0.2397054000458256,0.45994469565375906,0.5396882863400672
2,"MLP_qACId6[qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",1,100,56,10,20.636932611465454,0.0,0.10401776640528092,0.043021385882083096,0.3385892331279235,0.23167996921480122,0.4395041286760447,0.4783290901356602
3,"MLP_qACId8[qACId(8),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",1,100,56,10,20.636932611465454,0.0,0.10401776640528092,0.043021385882083096,0.33086254372809426,0.22862788579427595,0.4241296446821152,0.4884785382088451
4,"MLP_qACId[4,6,8][qACId(4),qACId(6),qACId(8),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",1,100,56,10,20.636932611465454,0.0,0.10401776640528092,0.043021385882083096,0.3229019834603566,0.23090404671269094,0.41374532309396495,0.46558235066751397
5,"LSTM_base[y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",1,100,56,10,68.44454336166382,0.0,0.11665315681181246,0.03897864288035723,0.34210894099156486,0.24571244522510552,0.46788346919754,0.5173648755898239
6,"LSTM_qACId4[qACId(4),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",1,100,56,10,68.44454336166382,0.0,0.11665315681181246,0.03897864288035723,0.3674815224362708,0.2583623313766563,0.5441278246250921,0.6165053800917145
7,"LSTM_qACId6[qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",1,100,56,10,68.44454336166382,0.0,0.11665315681181246,0.03897864288035723,0.3546269584820391,0.2636792259724652,0.5305885477133793,0.6488026244022536
8,"LSTM_qACId8[qACId(8),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",1,100,56,10,68.44454336166382,0.0,0.11665315681181246,0.03897864288035723,0.3756129931741472,0.2614259035642008,0.5819571549851714,0.6380162022644972
9,"LSTM_qACId[4,6,8][qACId(4),qACId(6),qACId(8),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",1,100,56,10,68.44454336166382,0.0,0.11665315681181246,0.03897864288035723,0.3599417750344748,0.23878897368173654,0.5033482857899065,0.5310697388490471
0,"MLP_base[y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",2,100,56,10,20.729533672332764,0.0,0.10005759789910115,0.014981818324236482,1.524458967666916,0.906770860975693,9.314273312246776,8.666584102430106
1,"MLP_qACId4[qACId(4),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",2,100,56,10,20.729533672332764,0.0,0.10005759789910115,0.014981818324236482,1.61307709639296,1.0148218151956199,13.550212470967756,46.36793774375135
2,"MLP_qACId6[qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",2,100,56,10,20.729533672332764,0.0,0.10005759789910115,0.014981818324236482,1.5488157973137857,0.9421992559411775,9.79202379612881,9.01745422160406
3,"MLP_qACId8[qACId(8),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",2,100,56,10,20.729533672332764,0.0,0.10005759789910115,0.014981818324236482,1.548109666167942,0.976126142969645,10.193632908389057,9.837499576207874
4,"MLP_qACId[4,6,8][qACId(4),qACId(6),qACId(8),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",2,100,56,10,20.729533672332764,0.0,0.10005759789910115,0.014981818324236482,1.57068272545957,0.92974690643944,9.838454420792262,8.479640175101775
5,"LSTM_base[y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",2,100,56,10,67.1325933933258,0.0,0.11694852399154448,0.04179963558791806,1.6521506857474448,1.0114600268281453,11.294055062031164,10.275898093590598
